claim_id,claim_text,claim_strength,source_report,source_table,source_rows_or_filter,numeric_values,caveats,allowed_language,forbidden_overclaim_to_avoid
C01,The artifact-controlled acute mTBI resting signal is not FDR-surviving.,supported negative result,reports/28_d1_d3_post_analysis_audit.md,outputs/qc/final_result_consistency_checks.csv,check_name=d1_acute_broad_min_q,acute broad min q=0.7876020805555347,"Broad family includes EO/EC, six regions, and D1 features; nominal rows do not override FDR.",acute mTBI vs control did not survive broad artifact-controlled FDR,positive diagnostic or clinical-utility marker claim
C02,The D1 candidate is artifact-sensitive.,supported caution,reports/28_d1_d3_post_analysis_audit.md,outputs/qc/d1_d3_key_effect_trace.csv; outputs/d1_artifact_control/ds003522_artifact_sensitivity.csv,acute artifact_trim_ptp95 rows and artifact-sensitivity labels,artifact proxy median attenuation about 0.09681; 449 stable and 31 changed/unavailable artifact-sensitivity rows,Artifact proxies are imperfect and do not prove artifact causality.,artifact-sensitive and attenuated under artifact-control checks,artifact-free disease signature
C03,D3 does not rescue the signal.,supported negative result,reports/28_d1_d3_post_analysis_audit.md,outputs/qc/final_result_consistency_checks.csv,check_name=d3_acute_posterior_q,posterior acute min q=0.9149353547832862,Generated D3 table lacks aperiodic-adjusted alpha peak metrics.,eyes-closed alpha/IAF branch did not provide supportive acute evidence,alpha/IAF rescue endpoint
C04,Chronic effects are batch-sensitive.,supported caveat,reports/28_d1_d3_post_analysis_audit.md,outputs/qc/final_result_consistency_checks.csv,check_name=chronic_trim_min_q,chronic trimmed min q=0.3484142544296637,Chronic branch is secondary and should not be pooled with acute mTBI.,chronic TBI remains exploratory and batch-sensitive,proof of acute mTBI effect from chronic branch
C05,D2 is partial/inconsistent.,supported bounded interpretation,reports/35_d2_bounded_falsification_report.md,outputs/d2_cross_task/d2_falsification_summary.csv,summary_level=overall_d2,overall min q=0.08979556263104832; mixed group q<0.10 count=0,D2 datasets overlap by Original_ID and do not constitute an independent cohort.,partial/inconsistent bounded cross-task support,independent confirmation
C06,DPX cue-baseline has the only weak q<0.10 trace.,supported weak positive trace,reports/35_d2_bounded_falsification_report.md,outputs/d2_cross_task/d2_within_dataset_group_effects.csv,dataset_id=ds005114 and task_window=cue_locked_baseline_2s,min q=0.08979556263104832; max abs(g)=0.5277489285227807,Exploratory q<0.10 trace is not a robust endpoint.,weak/context-specific DPX cue-baseline trace,confirmed replication or validated biomarker
C07,VWM and mixed models do not confirm convergence.,supported negative result,reports/35_d2_bounded_falsification_report.md,outputs/d2_cross_task/d2_falsification_summary.csv; outputs/d2_cross_task/d2_mixed_effects_models.csv,dataset_task_average ds003523; mixed model group q count,VWM task-average min q=0.47204368180214323; mixed group q<0.10 count=0,Mixed models were numerically fragile for a subset of features.,VWM and mixed models do not support robust convergence,cross-task validation
C08,ds003490 is pipeline comparator only.,supported scope guardrail,reports/22_ds003490_feature_readiness_report.md,outputs/d2_cross_task/ds003490_feature_readiness_summary.csv,dataset_id=ds003490,75 .set/.fdt pairs; MNE/event readiness outputs created,Dataset is not a TBI validation cohort.,comparator/pipeline rehearsal dataset,TBI validation evidence
C09,No validated biomarker claim is supported.,supported guardrail,reports/36_integrated_d1_d2_d3_final_decision_report.md,outputs/qc/final_result_consistency_checks.csv,all critical checks pass with null/artifact-sensitive interpretation,D1 q=0.7876; D3 q=0.9149; D2 mixed group q<0.10 count=0,"Future prospective, preregistered data could change the conclusion.",no marker-validation claim is supported,validated biomarker; diagnostic biomarker; confirmed biomarker
C10,The most honest manuscript framing is an artifact-sensitivity/null-leaning reproducibility report or transparent signal-discovery/falsification report.,recommendation,reports/36_integrated_d1_d2_d3_final_decision_report.md,outputs/final/d1_d2_d3_evidence_matrix.csv,all evidence streams,see C01-C09,Not a manuscript-writing phase; human scientific review remains required.,transparent public EEG signal-discovery and falsification report,positive diagnostic/prognostic narrative
